University_ID,Total_Score,National_Rank,Category,Score,Max_Score
UNIV_001,8132,6,Setting & Infra (SI),1310,1500
UNIV_002,7423,24,Setting & Infra (SI),1165,1500
UNIV_003,8402,3,Setting & Infra (SI),1182,1500
UNIV_004,6796,39,Setting & Infra (SI),1122,1500
UNIV_005,6845,36,Setting & Infra (SI),898,1500
UNIV_006,6815,37,Setting & Infra (SI),817,1500
UNIV_007,8983,1,Setting & Infra (SI),1395,1500
UNIV_008,7814,15,Setting & Infra (SI),906,1500
UNIV_009,6598,44,Setting & Infra (SI),923,1500
UNIV_010,8058,8,Setting & Infra (SI),1369,1500
UNIV_011,7279,29,Setting & Infra (SI),1014,1500
UNIV_012,6716,40,Setting & Infra (SI),896,1500
UNIV_013,7330,26,Setting & Infra (SI),913,1500
UNIV_014,7379,25,Setting & Infra (SI),1438,1500
UNIV_015,7326,27,Setting & Infra (SI),847,1500
UNIV_016,6679,43,Setting & Infra (SI),873,1500
UNIV_017,7306,28,Setting & Infra (SI),1344,1500
UNIV_018,7652,19,Setting & Infra (SI),1024,1500
UNIV_019,7554,22,Setting & Infra (SI),911,1500
UNIV_020,6701,42,Setting & Infra (SI),1209,1500
UNIV_021,7729,17,Setting & Infra (SI),1139,1500
UNIV_022,7623,21,Setting & Infra (SI),1053,1500
UNIV_023,6488,46,Setting & Infra (SI),1220,1500
UNIV_024,7913,12,Setting & Infra (SI),1408,1500
UNIV_025,6707,41,Setting & Infra (SI),1008,1500
UNIV_026,5896,50,Setting & Infra (SI),868,1500
UNIV_027,8565,2,Setting & Infra (SI),1251,1500
UNIV_028,7894,13,Setting & Infra (SI),802,1500
UNIV_029,8305,4,Setting & Infra (SI),1140,1500
UNIV_030,6921,35,Setting & Infra (SI),839,1500
UNIV_031,8009,10,Setting & Infra (SI),1122,1500
UNIV_032,7979,11,Setting & Infra (SI),1396,1500
UNIV_033,7844,14,Setting & Infra (SI),1359,1500
UNIV_034,6473,47,Setting & Infra (SI),1304,1500
UNIV_035,7075,32,Setting & Infra (SI),976,1500
UNIV_036,6499,45,Setting & Infra (SI),935,1500
UNIV_037,7236,31,Setting & Infra (SI),899,1500
UNIV_038,7642,20,Setting & Infra (SI),1180,1500
UNIV_039,6472,48,Setting & Infra (SI),980,1500
UNIV_040,6813,38,Setting & Infra (SI),1158,1500
UNIV_041,7662,18,Setting & Infra (SI),1013,1500
UNIV_042,8023,9,Setting & Infra (SI),1430,1500
UNIV_043,6387,49,Setting & Infra (SI),1211,1500
UNIV_044,7074,33,Setting & Infra (SI),1090,1500
UNIV_045,7267,30,Setting & Infra (SI),1388,1500
UNIV_046,7499,23,Setting & Infra (SI),1480,1500
UNIV_047,8155,5,Setting & Infra (SI),906,1500
UNIV_048,7759,16,Setting & Infra (SI),1376,1500
UNIV_049,6952,34,Setting & Infra (SI),1218,1500
UNIV_050,8123,7,Setting & Infra (SI),1194,1500
UNIV_001,8132,6,Energy (EC),1146,2100
UNIV_002,7423,24,Energy (EC),1484,2100
UNIV_003,8402,3,Energy (EC),2003,2100
UNIV_004,6796,39,Energy (EC),1411,2100
UNIV_005,6845,36,Energy (EC),1158,2100
UNIV_006,6815,37,Energy (EC),1371,2100
UNIV_007,8983,1,Energy (EC),1720,2100
UNIV_008,7814,15,Energy (EC),1390,2100
UNIV_009,6598,44,Energy (EC),1255,2100
UNIV_010,8058,8,Energy (EC),1359,2100
UNIV_011,7279,29,Energy (EC),1950,2100
UNIV_012,6716,40,Energy (EC),1555,2100
UNIV_013,7330,26,Energy (EC),1695,2100
UNIV_014,7379,25,Energy (EC),1537,2100
UNIV_015,7326,27,Energy (EC),1434,2100
UNIV_016,6679,43,Energy (EC),1530,2100
UNIV_017,7306,28,Energy (EC),1051,2100
UNIV_018,7652,19,Energy (EC),1940,2100
UNIV_019,7554,22,Energy (EC),2080,2100
UNIV_020,6701,42,Energy (EC),1342,2100
UNIV_021,7729,17,Energy (EC),1515,2100
UNIV_022,7623,21,Energy (EC),2091,2100
UNIV_023,6488,46,Energy (EC),1139,2100
UNIV_024,7913,12,Energy (EC),1661,2100
UNIV_025,6707,41,Energy (EC),1473,2100
UNIV_026,5896,50,Energy (EC),1003,2100
UNIV_027,8565,2,Energy (EC),1755,2100
